"GEA_Power","rep","nSpeciesConvergent","true_positives","false_positives","FDR"
0.3,1,3,0,0,0
0.3,2,3,0,0,0
0.3,3,3,0,0,0
0.3,4,3,0,0,0
0.3,5,3,0,0,0
0.3,6,3,0,0,0
0.3,7,3,0,0,0
0.3,8,3,0,0,0
0.3,9,3,0,0,0
0.3,10,3,0,0,0
0.3,11,3,0,0,0
0.3,12,3,0,0,0
0.3,13,3,0,0,0
0.3,14,3,0,0,0
0.3,15,3,0,0,0
0.3,16,3,0,0,0
0.3,17,3,0,0,0
0.3,18,3,0,0,0
0.3,19,3,0,0,0
0.3,20,3,0,0,0
0.5,1,3,0,0,0
0.5,2,3,0,0,0
0.5,3,3,0,0,0
0.5,4,3,0,0,0
0.5,5,3,0,0,0
0.5,6,3,0,0,0
0.5,7,3,0,0,0
0.5,8,3,0,0,0
0.5,9,3,0,0,0
0.5,10,3,0,0,0
0.5,11,3,0,0,0
0.5,12,3,0,0,0
0.5,13,3,0,0,0
0.5,14,3,0,0,0
0.5,15,3,0,0,0
0.5,16,3,0,0,0
0.5,17,3,0,0,0
0.5,18,3,0,0,0
0.5,19,3,0,0,0
0.5,20,3,0,0,0
0.7,1,3,0,0,0
0.7,2,3,0,0,0
0.7,3,3,0,0,0
0.7,4,3,0,0,0
0.7,5,3,0,0,0
0.7,6,3,0,0,0
0.7,7,3,0,0,0
0.7,8,3,0,0,0
0.7,9,3,0,0,0
0.7,10,3,0,0,0
0.7,11,3,0,0,0
0.7,12,3,0,0,0
0.7,13,3,0,0,0
0.7,14,3,0,0,0
0.7,15,3,0,0,0
0.7,16,3,0,0,0
0.7,17,3,0,0,0
0.7,18,3,0,0,0
0.7,19,3,0,0,0
0.7,20,3,0,0,0
0.9,1,3,22,1,0.000101010101010101
0.9,2,3,26,0,0
0.9,3,3,40,1,0.000101010101010101
0.9,4,3,27,0,0
0.9,5,3,40,2,0.000202020202020202
0.9,6,3,24,1,0.000101010101010101
0.9,7,3,24,1,0.000101010101010101
0.9,8,3,25,0,0
0.9,9,3,24,0,0
0.9,10,3,23,0,0
0.9,11,3,40,3,0.000303030303030303
0.9,12,3,43,3,0.000303030303030303
0.9,13,3,38,2,0.000202020202020202
0.9,14,3,25,1,0.000101010101010101
0.9,15,3,22,0,0
0.9,16,3,22,0,0
0.9,17,3,24,1,0.000101010101010101
0.9,18,3,36,4,0.000404040404040404
0.9,19,3,25,0,0
0.9,20,3,23,0,0
0.3,1,5,0,0,0
0.3,2,5,0,0,0
0.3,3,5,0,0,0
0.3,4,5,0,0,0
0.3,5,5,0,0,0
0.3,6,5,0,0,0
0.3,7,5,0,0,0
0.3,8,5,0,0,0
0.3,9,5,0,0,0
0.3,10,5,0,0,0
0.3,11,5,0,0,0
0.3,12,5,0,0,0
0.3,13,5,0,0,0
0.3,14,5,0,0,0
0.3,15,5,0,0,0
0.3,16,5,0,0,0
0.3,17,5,0,0,0
0.3,18,5,0,0,0
0.3,19,5,0,0,0
0.3,20,5,0,0,0
0.5,1,5,0,0,0
0.5,2,5,0,0,0
0.5,3,5,0,0,0
0.5,4,5,0,0,0
0.5,5,5,21,0,0
0.5,6,5,0,0,0
0.5,7,5,0,0,0
0.5,8,5,0,0,0
0.5,9,5,0,0,0
0.5,10,5,0,0,0
0.5,11,5,0,0,0
0.5,12,5,0,0,0
0.5,13,5,0,0,0
0.5,14,5,20,0,0
0.5,15,5,19,1,0.000101010101010101
0.5,16,5,0,0,0
0.5,17,5,23,1,0.000101010101010101
0.5,18,5,0,0,0
0.5,19,5,0,0,0
0.5,20,5,0,0,0
0.7,1,5,61,1,0.000101010101010101
0.7,2,5,43,4,0.000404040404040404
0.7,3,5,46,0,0
0.7,4,5,54,0,0
0.7,5,5,42,2,0.000202020202020202
0.7,6,5,59,1,0.000101010101010101
0.7,7,5,50,1,0.000101010101010101
0.7,8,5,47,1,0.000101010101010101
0.7,9,5,64,1,0.000101010101010101
0.7,10,5,59,2,0.000202020202020202
0.7,11,5,57,3,0.000303030303030303
0.7,12,5,52,0,0
0.7,13,5,44,0,0
0.7,14,5,49,0,0
0.7,15,5,49,0,0
0.7,16,5,54,0,0
0.7,17,5,47,2,0.000202020202020202
0.7,18,5,48,0,0
0.7,19,5,53,0,0
0.7,20,5,58,2,0.000202020202020202
0.9,1,5,96,1,0.000101010101010101
0.9,2,5,94,7,0.000707070707070707
0.9,3,5,96,3,0.000303030303030303
0.9,4,5,92,1,0.000101010101010101
0.9,5,5,96,1,0.000101010101010101
0.9,6,5,96,1,0.000101010101010101
0.9,7,5,98,4,0.000404040404040404
0.9,8,5,95,0,0
0.9,9,5,99,2,0.000202020202020202
0.9,10,5,98,3,0.000303030303030303
0.9,11,5,94,4,0.000404040404040404
0.9,12,5,90,0,0
0.9,13,5,97,4,0.000404040404040404
0.9,14,5,95,0,0
0.9,15,5,98,3,0.000303030303030303
0.9,16,5,97,4,0.000404040404040404
0.9,17,5,96,0,0
0.9,18,5,97,1,0.000101010101010101
0.9,19,5,97,3,0.000303030303030303
0.9,20,5,89,2,0.000202020202020202
0.3,1,7,0,0,0
0.3,2,7,0,0,0
0.3,3,7,0,0,0
0.3,4,7,0,0,0
0.3,5,7,21,0,0
0.3,6,7,0,0,0
0.3,7,7,0,0,0
0.3,8,7,0,0,0
0.3,9,7,0,0,0
0.3,10,7,0,0,0
0.3,11,7,21,1,0.000101010101010101
0.3,12,7,20,1,0.000101010101010101
0.3,13,7,0,0,0
0.3,14,7,24,1,0.000101010101010101
0.3,15,7,0,0,0
0.3,16,7,0,0,0
0.3,17,7,0,0,0
0.3,18,7,19,2,0.000202020202020202
0.3,19,7,22,1,0.000101010101010101
0.3,20,7,21,0,0
0.5,1,7,71,0,0
0.5,2,7,63,0,0
0.5,3,7,66,1,0.000101010101010101
0.5,4,7,72,1,0.000101010101010101
0.5,5,7,77,7,0.000707070707070707
0.5,6,7,70,2,0.000202020202020202
0.5,7,7,83,4,0.000404040404040404
0.5,8,7,70,1,0.000101010101010101
0.5,9,7,71,2,0.000202020202020202
0.5,10,7,64,0,0
0.5,11,7,77,4,0.000404040404040404
0.5,12,7,79,1,0.000101010101010101
0.5,13,7,72,1,0.000101010101010101
0.5,14,7,81,0,0
0.5,15,7,68,2,0.000202020202020202
0.5,16,7,70,3,0.000303030303030303
0.5,17,7,65,2,0.000202020202020202
0.5,18,7,69,0,0
0.5,19,7,66,1,0.000101010101010101
0.5,20,7,67,0,0
0.7,1,7,93,2,0.000202020202020202
0.7,2,7,93,2,0.000202020202020202
0.7,3,7,98,5,0.000505050505050505
0.7,4,7,98,3,0.000303030303030303
0.7,5,7,95,0,0
0.7,6,7,92,3,0.000303030303030303
0.7,7,7,98,3,0.000303030303030303
0.7,8,7,93,1,0.000101010101010101
0.7,9,7,92,0,0
0.7,10,7,91,1,0.000101010101010101
0.7,11,7,95,2,0.000202020202020202
0.7,12,7,97,5,0.000505050505050505
0.7,13,7,94,3,0.000303030303030303
0.7,14,7,96,4,0.000404040404040404
0.7,15,7,96,5,0.000505050505050505
0.7,16,7,93,2,0.000202020202020202
0.7,17,7,98,3,0.000303030303030303
0.7,18,7,97,2,0.000202020202020202
0.7,19,7,94,3,0.000303030303030303
0.7,20,7,95,2,0.000202020202020202
0.9,1,7,100,1,0.000101010101010101
0.9,2,7,100,5,0.000505050505050505
0.9,3,7,100,1,0.000101010101010101
0.9,4,7,100,3,0.000303030303030303
0.9,5,7,100,3,0.000303030303030303
0.9,6,7,100,4,0.000404040404040404
0.9,7,7,100,1,0.000101010101010101
0.9,8,7,100,2,0.000202020202020202
0.9,9,7,100,1,0.000101010101010101
0.9,10,7,100,1,0.000101010101010101
0.9,11,7,100,3,0.000303030303030303
0.9,12,7,100,3,0.000303030303030303
0.9,13,7,100,1,0.000101010101010101
0.9,14,7,100,3,0.000303030303030303
0.9,15,7,100,5,0.000505050505050505
0.9,16,7,100,5,0.000505050505050505
0.9,17,7,100,1,0.000101010101010101
0.9,18,7,100,2,0.000202020202020202
0.9,19,7,100,2,0.000202020202020202
0.9,20,7,100,2,0.000202020202020202
