"","GEA_Power","rep","nSpeciesConvergent","true_positives","false_positives"
"1",0.3,1,3,0,0
"2",0.3,2,3,0,0
"3",0.3,3,3,0,0
"4",0.3,4,3,0,0
"5",0.3,5,3,0,0
"6",0.3,6,3,0,0
"7",0.3,7,3,0,0
"8",0.3,8,3,0,0
"9",0.3,9,3,0,0
"10",0.3,10,3,0,0
"11",0.5,1,3,0,0
"12",0.5,2,3,0,0
"13",0.5,3,3,0,0
"14",0.5,4,3,0,0
"15",0.5,5,3,0,0
"16",0.5,6,3,0,0
"17",0.5,7,3,0,1
"18",0.5,8,3,0,0
"19",0.5,9,3,0,0
"20",0.5,10,3,0,0
"21",0.7,1,3,0,0
"22",0.7,2,3,0,0
"23",0.7,3,3,0,0
"24",0.7,4,3,0,0
"25",0.7,5,3,0,0
"26",0.7,6,3,0,0
"27",0.7,7,3,0,0
"28",0.7,8,3,0,0
"29",0.7,9,3,0,0
"30",0.7,10,3,1,0
"31",0.9,1,3,0,0
"32",0.9,2,3,1,0
"33",0.9,3,3,0,0
"34",0.9,4,3,0,0
"35",0.9,5,3,1,0
"36",0.9,6,3,0,0
"37",0.9,7,3,2,0
"38",0.9,8,3,0,0
"39",0.9,9,3,1,0
"40",0.9,10,3,0,0
"41",0.3,1,5,0,0
"42",0.3,2,5,0,0
"43",0.3,3,5,1,0
"44",0.3,4,5,0,0
"45",0.3,5,5,0,0
"46",0.3,6,5,0,0
"47",0.3,7,5,0,0
"48",0.3,8,5,0,0
"49",0.3,9,5,0,0
"50",0.3,10,5,0,0
"51",0.5,1,5,0,0
"52",0.5,2,5,5,0
"53",0.5,3,5,0,0
"54",0.5,4,5,0,0
"55",0.5,5,5,0,0
"56",0.5,6,5,6,0
"57",0.5,7,5,5,0
"58",0.5,8,5,6,0
"59",0.5,9,5,1,0
"60",0.5,10,5,2,0
"61",0.7,1,5,33,0
"62",0.7,2,5,33,0
"63",0.7,3,5,30,0
"64",0.7,4,5,37,0
"65",0.7,5,5,41,0
"66",0.7,6,5,23,0
"67",0.7,7,5,33,0
"68",0.7,8,5,36,0
"69",0.7,9,5,30,0
"70",0.7,10,5,34,0
"71",0.9,1,5,90,1
"72",0.9,2,5,91,0
"73",0.9,3,5,90,2
"74",0.9,4,5,88,1
"75",0.9,5,5,83,2
"76",0.9,6,5,91,0
"77",0.9,7,5,84,2
"78",0.9,8,5,79,0
"79",0.9,9,5,89,2
"80",0.9,10,5,89,1
"81",0.3,1,7,8,0
"82",0.3,2,7,15,0
"83",0.3,3,7,9,0
"84",0.3,4,7,12,0
"85",0.3,5,7,9,0
"86",0.3,6,7,21,1
"87",0.3,7,7,9,0
"88",0.3,8,7,0,0
"89",0.3,9,7,19,0
"90",0.3,10,7,19,0
"91",0.5,1,7,64,1
"92",0.5,2,7,64,0
"93",0.5,3,7,66,0
"94",0.5,4,7,69,0
"95",0.5,5,7,66,1
"96",0.5,6,7,63,0
"97",0.5,7,7,59,1
"98",0.5,8,7,69,1
"99",0.5,9,7,64,0
"100",0.5,10,7,69,0
"101",0.7,1,7,93,0
"102",0.7,2,7,85,2
"103",0.7,3,7,87,1
"104",0.7,4,7,90,2
"105",0.7,5,7,87,1
"106",0.7,6,7,90,0
"107",0.7,7,7,87,0
"108",0.7,8,7,93,0
"109",0.7,9,7,93,2
"110",0.7,10,7,95,1
"111",0.9,1,7,100,1
"112",0.9,2,7,100,2
"113",0.9,3,7,100,1
"114",0.9,4,7,100,2
"115",0.9,5,7,100,0
"116",0.9,6,7,100,1
"117",0.9,7,7,100,1
"118",0.9,8,7,100,1
"119",0.9,9,7,99,3
"120",0.9,10,7,100,0
